reviews,subjects,ratings,titles
find big secret let NovelOriginal film one finally see original film real shame public backstory dictate Chloe connect remake alter way please ridiculous american greed repressive phobia personally despite love let choose ignore prequel well forced change background consider original movie backstory backstory let character regardless name change American rather embarrassed many reason welllol change make know great original movie Novel neither sawread prior hearing buy let believe not could anyone watch let original backstory mind fact still fit fine thankfully nothing movie really force never mention backstory american version backstory anyway choose watch version backstory headheart," WOW and WOW
",8,Let the Right One In
honest not like horror genre movie movie exceptional see lot positive review movie decide watch Trust good decision ever take lifenow let discuss movie not worry spoilersthis story boy girl need think deeply understand hidden meaning moviethis must watch whether like horror genre not," A must watch no matter you like horror genre or not
",9,Let the Right One In
Oskar year old boy live Stockholm project slight gets bully befriend strange girl Eli find hang around night courtyard never go day caretaker Hakan kill drain blood Eli drink leave alone develop relationship Oskar Oskar want revenge tormentor Eli need bloodIt great idea two lonely kid form friendship vampire movie comingofage movie bit slow good moodiness Eli haunt couple visually compelling scene burn body terrific swim pool memorable scandinavian landscape give nice icy feel fresh new vampire movie," fresh vampire movie
",8,Let the Right One In
not big fan vampire movie generally rely angst instead plot torture vampire cursed live forever not talk Twilight movie eitherthis movie subtext violence human capable Oskar small effeminate boy getting pick school fantasize kill bully time strike jar disturb first cheer bother real violence iseli Vampire repulse kill must survive unable end life simply physically painful go condition come terrible price adult child body want love relationship man level emotional security touch Oskar young give needsthe climax one good ending cinema," The best Vampire movie I've ever seen.
",8,Let the Right One In
twelve year old Oskar Kare Hedebrant live mother apartment block school call Piggy relentlessly bully three boy meet neighour Eli Lina Leandersson tell twelve twelve long time brilliant Oskar bright kid series murder victim drain blood Eli ability climb wall combine nocturnal lifestyle lead ask vampire let Right one vampire movie horror also coming age drama indeed love story two lead amazing two good child performance see one thing impress snow cover swedish landscape not look wonderful give film cold bleak lookred blood snow effective movie not everyone not speak fluent Swedish mean subtitle almost two hour may prove long viewer become impatient slow burner second view time Winter think watch warm month may lessen impact essential view lover european horror contemporary vampire," A perfect winter night's movie
",9,Let the Right One In
watch let Right one remind experience read Anne Rice book story involve vampire concern great topic film use vampirism explore loneliness acceptance story young boy befriend girl vampire ostracize introverted people boy Oskar marginalize peer bully bond divorced parent Eli ageless entity destroy nearly everyone encounter even trust servant meet develop platonic friendshipthe film set Stockholm desolate indeterminate look Snow cover every location become thick film progress scene occur indoor near building welllighte not go scare force look directly Oskar Eli Alfredson know add several Easter egg Eli attack first victim car pass overhead Oskar hold underwater tormentor severed head appear behind scene keep film fall far one genre restore ambiguityas far see not happen often day film tell fine sensitive manner like work director Tomas Alfredson never much talk often experience image tell word give whole movie even depth director perfect work writer novelist Lindqvist succeed something not many write original novel screenplay think screenplay right focus book Perfect workmy conclusion love beautifully dark vampire story would recommend Lat den ratte komma sure picture excellent chance get least nominate Oscar Let hope one Hollywood get stupid idea remake movie," This film is great.
",10,Let the Right One In
film little slow part well film kind coming age love story not get wrong though definitely violent horror film want movie date night would good one Screw Twilight crap ending great not like romance horror film may little bored still give watch though good payoff lag time," A little slow in parts but a solid film.
",8,Let the Right One In
one two favourite movie important feature emotional interaction especially two main character lose child like rest find someone rely real love story wrap mysterious supernatural fairytale snowy winter world add magic atmosphere tale totally serious realistic emotional demeanour unlike film real situation childhood angst world distracted confused adult not count love guidance somehow able find one much seem remind denouement childcentere drama life Dog two main child actor amazing boy girl whose gender characteristic somewhat reversed realistic tough delicate dreamer unfortunately american remake not convey believe due miscasting though wellmade existence seem rather pointless swedish version definitive," Wonderful
",9,Let the Right One In
masterfully direct beautifully frame film mesmerizing gem start finish welcome shot arm decay superficial subgenre vampire romance right way film let Right one give bargain minimalist direction give much highclass dessert small heavenly hellish suppose layer theme clear subtle bring believable performance two young lead result blend line realistic fiction psychological thriller bring back popular horror icon modern relevancy," A wonderful vampire tale that's also a love story.
",8,Let the Right One In
let movie movie cover many genre one good enough love story fact two child impossible story like Romeo Juliet also horror movie vampire element genre movie enjoy hurry plan slow spectacular picture one good film st century," A film of films
",10,Let the Right One In
swedish take Vampire story seemingly expand somewhat character somewhat similar Claudia Kirsten Dunst Interview VampireOscar year old victim bully fantasize somewhat revenge Eli new neighbor move mysteriously night not attend school exhibit decidedly strange behaviorwhile could consider horror film certainly horrific element probably accurately describe story friendship possibly love theme address relate central story survival someone might willing survive revengeAs suggest obviously horror element not film gore psychological horror nothing compare recent excess new torture subgenrethis also SwedishEuropean film not frenetic pace fact much time quiet movie set swedish winter move almost languidly depiction swedish winter evocative similar way snowy Canadian winterFor part film focus child adult present not seem connect child seem prefer not see not want seeThe swedish novel upon film adapt author somewhat involved include theme either drop film allude tothe american remake Matt Reeves Cloverfield title let reasonably well receive still not see need remake foreign film original successful rarely ever see necessity remake unless original fail meet expectation," Interesting Take on a Vampire Story
",7,Let the Right One In
let right one one decide let home decide let life start boy life bleak desolate aswhat could easily describe lonely playground Sweden meet Eli Strange give tothepoint answer question form bondand boy look help bully problem Eli look someone replace caretaker become complacent quite franklytired duty film see become strong ally strong friend well movie slow paced pull end root pleasantly surprised finally watch true form vampire movie not show silly sparkly drag queen like Twilight series," The title can be taken two ways.
",9,Let the Right One In
english dub cheesy not stop film good beautiful film," Interesting beautiful
",10,Let the Right One In
absolutely incredible film grip think people struggle understand not enjoy understand really great," Creepy and touching.
",8,Let the Right One In
terribly lonely unsympathetic boy meet equally lonely girl develop crush make isolation recede neither girl human lonely overlook failingsThe bullying cliche Oskar weak face hard time root book movie movie underplay pedophilia angle spoiler book vampire first assistant pedophile masturbate look naked vamp tie herhim scene not play drunk father also cliched way invoke sympathy endlessly run nose explain book not explain look little weird book movie get sense author try say something gender fluidity life not figure message movie slow enjoy young actor play vampire think violence well never Sweden would like one day go see everybody depressive movie novel land Surely notIn end awful future victim pair not help relieve well loneliness despair find," Two lonely souls meet
",6,Let the Right One In
simple story young boy meet young girl Swedish suburb bully school vampirevisually appealing give swedish winter great true imprint celluloid ever see time fair say film flaw far tempo plot concern actor ok not much cgi quite horrid personally would recommend crew use doll insteadAt first quite take film dissect bit not visually appealing great sound end film not hold well," Simple plot, drab tempo yet great visuals and audials
",6,Let the Right One In
bad movie see read book twice know potential movie keep expectation low since swedish movie Lina Leandersson good role Eli movie redeem feature basically character development movie not know anything care character movie Oskar play Kare Hedebrant portray semi retarded mouth open snot run nose almost every sceneyou get know nothing character movie care character movie audince lead think Hakan Elis father really pedophile not make sense moviewhen Eli take first victim scream Aj aj aj roughly translate ouchie English like anyone would react like get brutally murderedall good part book leave instead fill almost hour long movie scene slow pathethic dialogue cheap joke ala Stefan och christer ohh look gym teacher talk weird accent LOLI never close walk cinema movie livestock audience laugh entire movie like suppose comedythis one bad movie ever see," Good book, awful movie.
",6,Let the Right One In
basically vampire movie hail one good ever respectfully disagree get later young boy constantly harass school mysterious girl someone appear father move apartment next murder start happen etc girl vampire never doubt viewer mindSo think first let get chest hate main character not wuss let kid walk either something facethat super white skin platinum hair reddest natural lip ever see every time onscreen want join bully punch next know suppose something beautiful romance develop two lead really terribly uncomfortable watch two twelve year old romantic othermaybe miss something critic viewer alike could not stop praise movie not think anything special heart underworld action maturity Twilight not really meet good middle would watch sure not guarantee opinion would change Final score," Overrated vampire film with some really uncomfortable romance
",6,Let the Right One In
film friendship young lonely boy twelveyear old girl vampire live next doorIf horror movie fail miserably usually scare horror film easily quit watch twenty minute not scare let Right one scary atmosphere tension thrill whodoneit suspense either know almost beginning girl need blood little plot make viewer crave let Right one seem like child version Twilight bit gory not believe positive review let Right one film slow plain boring," If it was a horror movie, then it failed miserably
",0,Let the Right One In
see movie FantasyFilmfest Cologne Germany tonight think beautiful film quietly develop wonderful love story two outsider contain many typical element vampire movie course get ask real monster human besides find typical scandinavian dry humour message accept leave cinema could not get grin face hand walk home goosepimple not horror happiness beauty film hope copy release well one see also personally would shorten movie little bit although catch sit position long time without start feel uncomfortable," Beautiful, a bit too long
",9,Let the Right One In
put inappropriate content title since people may look rating decide watch without read comment director make ok job plot weak main problem movie use small kid violent topic people point comment scene even look like child porn not think deserve bad rating since atmosphere give quite good come joke movie produce Europe not make masterpiece art overcome arrogance result want watch vampire movie not vampire ok movie aware content may irritated," Inappropriate content and highly overrated
",5,Let the Right One In
time not get back complete waste minute life," Mind numbing and completely boring
",1,Let the Right One In
see year horror genre able portray monster vampire zombie character screen nonetheless story gore blood story particular message give rarely get horror story scare time leave speechless wordswhat say PERFECT HORROR PICTURE EXPERIENCEI part bunch people believe scary movie one make jump seat not romantic comic element movie make realize horror movie actually say definitely romantic twist tale not make feel second not watch horror movie romantic element film sync theme film film actually everything dramaemotionhorrorsuspenseromance still make feel watch horror moviefirst cast praise brilliant performance Kare Oskar Lina Eli take romance film height never reach recent time would never actually expect year old kid could play lover screen compassion love well bring director Tomas Alfredson feel pain character movie good direction moviebut soundtrack movie one watch one good hear recent time especially Eli theme put one word simply magical composer Johan Soderqvist manage bring unique music score film guy read critically acclaimed popular book bind difference person different perspective book much altogether one film not miss one sadly could not make Oscars loss could not present one good movie time," ""The horror movie we wanted to see""
",10,Let the Right One In
even not fan vampire genre would strongly recommend movie vampire theme actually quite subdued feel like watch movie adolescence vague nod vampire mythologyI think soon consider modern classic way portray adolescent loneliness cold bare backdrop suburban Sweden even though seem like strange faraway land anything film friendship acceptance undercurrent macabre find vampire may befriend young boy Oskar year old friend bully school domestic life not much well parent separateddivorce result spend time alone collect newspaper entry play knife fact act fantasy knife pretend confront tormentorsthen new girl Eli move apartment next door man look androgynous Oskar like anyway typical adolescent male fashion tell smell funny act tough pretend not like herThere not much simple story way tell pacing gorgeous cinematography keep invest viewer end get welldeserved payoff quite scene want rewind watch outrageous ending absolutely stunning gore tastefully portray special effect topnotch cosmetic enhancement already beautiful movie one definitely check outHighly recommend," Atypical vampire movie
",9,Let the Right One In
like vampire must see movie like horror flick see movie like great foreign film OWE see movieLet Right one give film combine modern drama traditional gothic romance use term romance loosely though would hardly classify one group Sweet Home Alabama take place cold snowy icy bleak desolate frigid get drift suburban landscape Sweden film revolve around young boy name Oskar Young Oskar quiet way tender heart bully school remain somewhat outsider meet interesting neighbor young girl around age himor DUN DUN DUN Herein lie twist amazing filmwith ending sweet awesome candy Ikea let Right one leave wonderful taste mouth time shock pant youi love kid," Freakin awesome Swedish horror right here.
",9,Let the Right One In
wonderful beautiful bloody update vampire tale true originality travesty remade US mean choose wait watch version Worry not subtitle watch regret big surprise beautiful every frame carefully compose not conventional beauty indeed way breathtaking shot small group snow clothe tree literally sparkle sunlight moment realise although captivate look consist corner cupboard car interior street furniture like photograph utmost care well tremendously involve tale two youngster catch absolute mayhem make jump squirm applaud loud least," Wonderful, beautiful and bloody
",9,Let the Right One In
one savvywith ityoung folk prefer esoteric film fare dreck pollute local cineplexe thenby gum let right one scratch itch obvious film release US try attract crowd currently pack cinema Twilight ie giggly year old girl not get away cookie cutter mindset let Right One Inis savvy new film Sweden focus lonely year old boywho bully middle school attend lack friend not help matter either meet mysterious young girl move next door strange Fatherwho obviously good night discover Vampirethe friendship get downright weird random murder happenpeople attack catsand strange thing not ruin detail exactly pass r rating MPAA film serve bloody violence mostly screenas graphic violence ban Swedenremember country outright ban Star Wars call romantic depiction violencelanguage brief nuditywhich probably mean cinema opt screen film probably discourage anybody unless bring parentolder siblingetc," An Alternative To 'Twilight'
",9,Let the Right One In
see positive review think film go make day even week rather time spoiler really not know movie get great reception story self unexplainedsome question state bellow Girl become Vampire man true father not relationship Women Victim die fire attack cat would bleed not permit get inside base film title yes still unexplained confusing Ending far pathetic movie way boring please not waste time end like say feel hope not human hate movie," Highly overrated Horror film
",3,Let the Right One In
let Right one adapt novel name John Ajvide Lindqvist tell story Oskar Kare Hedebrant bully twelve yearold grow dreary Stockholm suburb early live small tenement flat seal permanent snow separate father alienate stressed overwork mother Oskar fill time fantasise take revenge gang tormentor make schoolday misery fill scrapbook news story gruesome murder one night girl age move flat next door reclusive old man Oskar immediately strike touch friendship girl Eli Lina Leandersson not overlook strange seem claim never see Rubik cube yet solve one without even try see Oskar night notice thick cardboard shutter go window flat claim not know bear casually sit around subzero temperature barefoot casually dress without show sign coldthis odd little film one say great horror film without particularly scary whereas considerably less subtle englishlanguage remake let make prominent use cgi explicit bloodlette let Right one never come across film particularly interested scare audience little like Ladykillers still great comedy without actually make laugh let Right one take group genre trope set different purpose film primarily impossible relationship morbid weakly unstable boy ancient monster body child much additional detail Lindqvist novel excise particularly regard true nature Eli relationship familiar Hakan per Ragnar film therefore invite scrutinise character closely question nature relationship Eli genuinely care Oskar groom take Hakan place new familiar Oskar drop old life easily young Eli require let Right one great achievement present two character beautifully forget insane impossible relationship really Oskar morbid obsess death Eli come along meet first time see take frustration tree tenement courtyard steal knife significantly act murder bully fantasy take cue bully repeat insult mimic method imagine turn back Eli challenge later kill necessity whereas Oskar genuinely feel desire kill anger malice even not act course complicated simple question monster really especially depart Eli bind defend companion return end film rescue Oskar tormentor absolutely breathtaking sceneEli subtly draw tragic figure seal lifestyle helplessly Oskar live paradoxically vulnerable existence ageless monstrously powerful immune injury yet would kill instantly sunlight show sign decay quickly Hakan fail procure supply food unable control presence blood pathetic existence see clearly attempt enter Oskar home without invite violation vampire lore result instant horrific haemorrhage stop Oskar intervention cutely Oskar response lend one mother dress replace soil old one put record shower film present fairly straightforward checklist vampire mythology notable element omit neither real attempt subvert form element appear concerned hence Eli becomes seal inside rigid unbreakable rule come dictate boundary vampire fiction last two hundred yearsthat not undermine victim tragedy broken Hakan unable provide Eli loyal end destroy pathetic undignified way imaginable woman hopelessly transform vampire Eli choose death sunlight instead life murderess boyfriend investigate mystery nothing right thing meet end consequence viewer not ask condone act challenge overlook take still buy central love story throughout film director Tomas Alfredson give stark oppressive aesthetic perfectly match isolation character lighting glaring unforgive music score omnipresent remake sparse understate instead Alfredson use silence like harness hold plot character place end result good horror film last decade also touching tale friendship boot although depend look might not last one," ""Are you a vampire?""
",10,Let the Right One In
Bram Stoker would shake coffin see vampire portray today tv Movies Movies like Twilight tv show like Vampire Diaries bring Vampires daytime intimate relationship deal high school drama thankfully director Neil Jordan Interview Vampire Tomas Alfredson stay true legend VampireLet Right one star Kare Hedebrant Oskar Lina Leandersson Eli bring classic vampire tale back unique twist film base book name swedish author John Ajvide Lindqvist let Right one begin man wood collect blood recently kill person little know collection year old vampire live hundred year fresh take classic vampire dilemma find food stay site sunone many thing film get right atmosphere swedish film shoot entirely Sweden perfect setting film like constant snow fall dreary look town really add realism movie unlike Interview Vampire could relate modern set director choose exactly right time music score come not saturate every moment like lot horror director tend dothis story lot vampire girl try survive also story love redemption Oskar constantly bully local kid always retreated alone Eli bring sense wonder life find oddness bring shell build relationship carefully slowly teach stand give confidence interesting back forth two relationship build testament director actorsthis wonderful film singlehandedly bring genre sparkly hole vampire film last year," Haunting and Steady Drama
",10,Let the Right One In
romantic Pretty much perfect film ultimate fairy tale personally child always fancy creature fear many friend lion example get vampire Oscar brilliant Ela director really find perfect kid part snowy cold frosty Sweden make perfect backdrop one could say film dwell lot bully not help recall kid play Floyd child Alan Parker Wall scene fancy child take school love film like not even sure Ela even truly exist kid fantasy ask since witness world adult not seem pay enough attention final swimming pool scene leave truly awestruck," Very satisfying
",8,Let the Right One In
many vampire film year become worldwide incredibly cheesy shapeshifter picture instead horrify original let Right one try not horror film instead focus love relationship vampire human character wonderfully play Eli year old vampire Lina Leandersson Oskar year old boy Kare HedebrantThe story set Sweden beautiful western Stockholm suburb Blackeberg delicately cold snow fall everyday Oskar live Mother flat parent divorced harshly bully nearly everyday school Eli move next door Oskar live relationship bond begin pair beautifully tell connect various scene eg Rubik cube one intense terrifying time strangely touch scene classic vampire myth happen not invite vampire cross threshold anyway groundbreaking scene set tone incredible film really Astonishing credit must go screenwriter John Ajvide Lindqvist adapt book direct expertly Tomas Alfredson endless new possibility Vampire forklore nearly year Nosferatu still new twist familiar movie monster instead opinion hope many Twilight Saga even daft tv Programme True BloodThe film follow Oskar encourage Eli fight back bully school inturn escalate situation quite unforgettable ending far two willing go especially bravura longheld underwater shoot easily label Howthehellwasthatdone talking point get impact gruesome contenta devastating yet interestingly uplifting inhuman drama majestic genre picture excel good foreign film watch since Pan Labyrinth show film not successful compare big gross Vampire filmTwilight although US right book already go Matt Reeves Cloverfield film release prove small foreign base film year get critical praise influence deserve Hollywood style blockbuster deserve win Best Foreign Language Film next year Oscars surprising not even get nominate Watch," A classic Vampire film
",10,Let the Right One In
let Right one among good horror film decade Oskar lonely tormented boy befriend Eli play unique maturity Lina Leandersson year old vampire year old body friendship heart film two young actor work beautifully together create memorably touching scene touch importance friendship lonely world innocence young love Oskar Eli lonely alienated find shelter interest approval work well enough dramatic stand alone satisfy horror element backdrop emotionally sensitive story horror sequence unique creative shot adeptly Hoyte Van Hotema genuinely disturbing scene violence andor abnormal behavior childteen equal part move unpredictable plenty great scare unforgettable end let Right one among good horror film past year," Sweet, Sad, and Scary
",8,Let the Right One In
rarely watch horror film never understand fascination vampire watch cousin film director recommend Scandinophile speak norwegian able read Swedish blow away movie understate eloquent performance child actor Lina Leandersson simply superb first film performance far endear read swedish newspaper interview vampire not scare clown share antipathythe movie atmospheric low key violence understate american standard necessary exposition plot Eli standout performance Oskar well anyone ever bully sympathize little lost boy meet extraordinary friend relationship really heart filmthe horrifying thing movie currently remade Hollywood enough give one nightmare far bad original," The only vampire/horror film I've ever liked
",10,Let the Right One In
not traditional vampire movie stretch imagination contain none traditional icon genre fang stake garlic etc show interest depict battle good evil Oskar Eli bully schoolboy darkly attractive vampire girl befriend outcast aspect film choose focus onOskar act revenge fantasy tormentor taunt way taunt perhaps instinctive understanding similarity apparently unrelated situation prevent Eli yearold vampire eternally trap body yearold treat another meal not outsider intelligent perceptive share characteristic bond form themThere many vampire film many film love share seemingly diverse character not remember one quite like Harold Maude come mind long since see not really sure closely compare certainly unique even slow deliberate pace lack genre cliche alienate typical horror movie fan writer John Ajvide Lindqvist director Tomas Alfredson firmly root story recognisably mundane urban setting people common slightly shabby adult part peripherally involve story concentrate burgeon relationship two youngstersunder surface story question raise mostly unanswered Oskar desperate companionship accept anybody ask girlfriend ask Eli whether boy girl not seem matter Eli simply line replacement current familiar soon become apparent begin lose touch exactly relationship Eli man share first assume father impossible devoted child fall spell paedophile answer hint not answeredThere not really many scare film see little gore horror reside fact dark deed carry ordinary public place man drug hang tree ankle local park see car headlight pass background throat cut two victim attack concrete sprawl location council estate yet another victim strap upside ready bleed school change roomsperhap film major shortcoming subplot concern group near downandout prompt event lead film conclusion seem belong different film entirely one perhaps line typical horror fare seem surprisingly clumsy inclusion time film end suggest happyeverafter scenario logic suggest two fugitive would soon discover secret reveal," Not Your Typical Horror Film
",0,Let the Right One In
movie make last year already top horrorvampire film time already sell Hollywood make versionone fast foreign film recreate Hollywood know something special handsswedish creator Tomas Alfredson find beauty something beastly violent way invite want learn part life movie surpass expectation garner much attention word mouth quickly spread across North America due time especially american version counterpart releasedfinde someone Lina Leandersson difficult task play role near perfection ability invite yet ruthless killer due instinct something mesmerize even till play adequate part movie not overplay part take away dark atmosphere film book justice wish go Hakan character bit not take away filmthe premise movie young girl appear father move apartment complex neighbour young boy name Oskar getting bully classmate meet new neighbour Eli show need stand emotional connection build two young couple Oskar find Eli different stand way movie create low budget story mood set throughout entire film captivate pull story well forget little movie cost one look forward remake even though not think ever justice still always applaud remake least try XTC," The Greatest Beastly Allure
",10,Let the Right One In
review film caliber Tomas Alfredson Lat den ratte komma almost useless masterwork cinematic art get layer element go deep full incredibly powerful emotion spirit feel like ruin experience simplify word place profound feeling arise watch certain category know stall suddenly start pick film apart Lat den ratte komma beautiful film hard find word describe tale unknown loneliness embed desperation flair light darkest place form truest thing story detailed incredibly interesting character society atmosphere snowy cold hometown enter outsider compelling figure mythological mystery apprehensive stir terrifying lovely Shot masterfully Hoyte van Hoytema eye innovative camera angel enigmatic light shadow pulsate film compose beautifully Johan Soderqvist impressive acting youngster Kare Hedebrant Lina Leandersson play two main character priceless member crew involve masterpiece brilliant direction Tomas Alfredson John Lindqvist fabulous script base upon novel name," Look closer...
",8,Let the Right One In
utterly unique oddly beautiful swedish film bud friendship yearold boy female vampire manage morbid sweet timeoskar sad little boy live life detach loneliness single mom horribly bully school see dad friend see seem unhealthy unleashed propensity violence keep scrapbook full clipping grisly murder maybe reason willing quickly accept friendship Eli little girl also happen vampirelet Right one not vampire movie traditional sense give surprised amount vampire horror movie contain see vampire attack see Eli scale wall see vampire attack cat burst flame sight sunlight however heart film aching wistful story two outcast find fact one vampire become almost incidental Eli could awkward little yearold nerd like Oskar story would not much differentThe movie dazzlingly film hardly scene go without sort strike image composition notably climactic scene set swimming pool scene end moment shocking violence also manage eerily beautifulAnd word whole Eli really castrate boy argument swirl around film apparently book make explicitly clear case simply not enough evidence film allow viewer make intuitive leap heshe not read book believe director writer leave ambiguous purpose take away want depend whether not read source material case not see plot detail especially relevant make one iota difference storyGrade," An Eerily Beautiful Film About a Little Boy and His Vampire Girlfriend
",9,Let the Right One In
like movie draw attention see bluray disc local store check review IMDb decide go since Twilight hollywoodized definitely not cup teathe pace may bit slow whose use Hollywood production however willing feel story pay attention detail lot tell subtle mannersThe story simple believe relationship main character Oskar Eli Hakanare far complex lot tell pay attention detail sequence believe tell isare sequel later see review say one book seriesanyway try good list comment may contain spoiler first not read book following pov relationship Eli Hakan seem like fatherprotector daughter hell think lover Eli tell Oskar many year Hakan likely Eli previous Oskar Hakan get old Eli stay confuse Eli behavior speak Oskar like year old girl not reasonable claim year old many year one explanation Eli act obvious act get close Oskar get Hakan successor Hakan old could not even kill make sense remember first scene Eli speak Hakan forget bring blood back apartment Eli angry say behavior scene not seem like like adult say remember night Eli actively befriend Oskar Eli extremely hungry strengthen intention find successor scene disclose Eli private part shock initially doubt necessary however remember Eli tell Oskar twice not girl initially think mistranslate refer not human arguable shot seem like scar start doubt Eli really female vampire honestly speak not tell yearold boy girl sometimes right specially Vampire happen pale skin question pretend girl think year old boy not strong enough hard work hence kill blood murder hide vampire existence course therefore borrow someone strength male protector like Hakan Oskar future girl easy get people involve intention also explain Eli train Oskar use violence fight back school mate violence Oskar need bring Eli food blood futuretherefore story male vampire pretend year old girl find next food supplier current one old job Eli find train Oskar Hakan successorI hope pov make sense bring thought story story subtle story line simple story tell may want give multiple view order discover morehighly recommend," More than meets the eyes - don't be fooled by the simple story line.
",8,Let the Right One In
slow film pretentious lack credibility mention veeeerrryyy slow plot minimal lack substance begin middle end pace slow also funny cgi part big eye snapchat filter filter exist lolsimply put without spoil anything slice life story year old boy meet supernatural year old girl change life not shoot like horror film angle cinematography similar run mill drama leave feel uncomfortable kid actingtldr barely horror contain blood gore genre bore af slow af unlikely af," slow slow slow and not really horror
",3,Let the Right One In
film probably not appeal like gore horror attention span gold fishthis film classic far concerned among top ten horror film since sit not gory go make jump skin every second story engage story two young people come together chance develop deep feeling despite extreme difference innocent story love present brilliant produce filmI see film four five time since release never tire watch," Still brilliant 10 years on
",9,Let the Right One In
unique take vampire feature gutwrenche musical score favorite movie," Original Story
",10,Let the Right One In
let right one excellent unusual swedish horror film well watch without dubbedIt wonderfully atmospheric fantastic snowy setting superb cinematography although not particularly scary film pretty gory intense scene well film USA remake let InI like performance two young lead Kare Hedebrant effective young bully schoolboy Lina Leandersson perfect vampire not really understand people find story slow plenty memorable scene time macabre scene throughout whole film build superb climax satisfying end intelligent effective horror film must go one good past year," A great horror film
",9,Let the Right One In
versatile little jewel not easily categorize specific genre sense horror movie time much thatOskar lonely twelve year old boy waylay daily couple bully one night Eli appear courtyard apartmentcomplex Oskar live warn stay away Oskar ignore warn fact never see daylight look rather pale not scare endear friendship arisesEli need drink fresh human blood survive loathe violence go blade hand Oskar fantasize cruel revenge bully fail act confront many dimension cleverly add seemingly simple story weave everything together one organic wholetwo important factor wonderful camerawork Hoyte Van Hoytema intimate directive skill Tomas Alfredson clear cinematography Van Hoytema not capture astonishing swedish snowlandscape accentuate red blood sparingly apply horror scene also accentuate vulnerablemaking visibility Oskar Eli would like hide Van Hoytema special lighting hardly allow itvan Hoytema communication feeling image give Thomas Alfredson chance shine direct two protagonist delicately form world shape obligate scene natural law vampire explain hereby become part way child interact world erotic aspect vampirefiction not matterlet Right one tender horrorfilm rare Alfredson successfully merge sensitive swedish child movie teendrama mature vampire horror end masterpiece climax leave viewer speechless," A diamond in the rough.
",8,Let the Right One In
lovely film beautiful cinematography something enjoy various audiovisual perspective think orchestral background music right wonderful well fabulous camera work film inside school building four five window watch night train pass left right gradually pass across window one one sort subtlety build throughout film make enjoyableIt not actionpacked film forget gore fast kicksIf not like foreign language film subtitle stay away Watch let US remakeI guess true impact good film really hit watch english language remake although remake still pretty decent miss subtlety make film much well appreciate gradual transformation girl intermittently discolouore grimy rather smelly become wholesome attractive little girl feast blood instead focus yellow eye scissor tooth vampire thing really ramp upi also relish fabulous tension character especially main protagonist somewhat vacant US version relationship Eli father also much tender film Father understand difficulty support bizarre creature still good ability whereas US counterpart swear yell Fck sht due frustration also getting shout vampire daughter though inept inconvenienceThe film entrance make feel pleased make effort watch foreign language version first US remake also little disappointed dupe think US version would even well notthe icecold slow move tension beauty film problem subtitle WHATSOEVER," For mature, not necessarily teen audiences
",9,Let the Right One In
review not contain spoilersthis film simply resonate experience ever stare screen actually read book watch movie love book film even powerful hardly put word much love filmI come identify Oskar much throughout book film feel like skin every moment film every thought action Eli Oskar actual perceive hit close home would lay awake bed think every night afterwardboth young actor amazing job film approach director decide take make film superb not stop say amazingly well everything come together film heart always one dear film ever watch," My favorite film of all time
",10,Let the Right One In
Oscar listen Hit back never hit back hit back hard Lat Den Ratte Komma great swedish film direct Tomas Alfredson base novel John Ajvide Lindqvist name translate mean let Right one Lindqvist also write screenplay film help Alfredson adaptation novel base twelve year old girl actually vampire two hundred year not change physical appearance relationship young kid name Oscar title film vampire legend ask permission enter anyone home not come free atmosphere movie great director quickly set suspenseful state locate quiet cold small swedish town scenery beautiful lot snow contrast dark town contribute overall horror suspense really love movie film probably one good vampire movie see different stand alone genre violence disturbing different way not actually show everything go leave imagine lot violent act see distance someone way actually not see blood throat slicing film really play sensory sense sometimes imagine bad see violence interesting enough vampire not actually see villain either director want see thing eyesAt beginning movie introduce Oscar Kare Hedebrant twelve year old boy bully school three classmate quiet kid also smart home live alone mother constantly dream get revenge play knife constantly repeat word squeal squeal like pig probably make reference fact school call pig constantly make fun also seem collect clip newspaper violent act Oscar quiet sweet kid violent daydream one daydream Oscar see man young girl move apartment complex Oscar live girl name Eli Lina Leandersson quickly become friend although go night dress lightly consider freeze weather detail capture Oscar attention Eli Oscar become friend tell not allow kid treat way must fight back hit hard order gain respect since Eli live apartment next door Oscar figure communicate Eli Morse code relationship continue build not know Eli actually two hundred year old vampire man live not actually father serial killer charge bring fresh blood victim name Hakan per Ragnar not like Oscar much soon Oscar discover Eli real identity choose want continue friendship judge actionsthis without doubt movie remade Hollywood story original grip Hollywood run idea actually remake lot foreign film advice go see original version much well difficult vampire movie top one mood suspense film capture attention beginning also chemistry Hedebrant Leandersson hard equal performance brilliant despite young age movie unique beautifully shoot scenery captivate mystery mix romance work well dislike Twilight saga not case not worry probably love film completely different tone mood please go see film original version worth time final ten minute film intense brilliant movie," Let the Right One In makes Twilight look like Childplay
",9,Let the Right One In
let Right one Tomas Alfredon one good film recent year heartbreaking comingofage tale yearold boy fall love vampire Kare Hedebrant victimise whitehaire Oskar end go steady quiet pale neighbour Eli Lina Leandersson series grisly murder illadvise attempt become blood brother alert real identity Alfredon lack affinity horror genre mean zone one story reflective element loneliness sorrow love know boundary allow nerveshredde suspense appalling bloodlette form offbeat brilliantlyrealise backdrop let Right one oneofakind movie superbly plot full breathtaking imagery lead offer two fine kid performance ever see though fascinatingly Leandersson dub," For once, believe the hype
",0,Let the Right One In
